Column1,Column2,Open,High,Low ,Close,Volume
31/7/2008,8:00:00 PM,1.9821,1.98405,1.9817,1.9826,8590
1/8/2008,12:00:00 AM,1.9826,1.9828,1.9802,1.9824,20945
1/8/2008,4:00:00 AM,1.9824,1.9841,1.9735,1.97525,47454
1/8/2008,8:00:00 AM,1.97525,1.9788,1.9737,1.9779,54534
1/8/2008,12:00:00 PM,1.9779,1.97855,1.9725,1.9741,63850
1/8/2008,4:00:00 PM,1.97425,1.9752,1.9727,1.97325,16790
1/8/2008,8:00:00 PM,1.9734,1.976,1.97325,1.9751,2238
3/8/2008,8:00:00 PM,1.97399,1.97592,1.97335,1.9749,4879
4/8/2008,12:00:00 AM,1.9749,1.97565,1.974,1.975,11528
4/8/2008,4:00:00 AM,1.975,1.9755,1.96835,1.9689,25760
4/8/2008,8:00:00 AM,1.96895,1.9703,1.96675,1.9675,48560
4/8/2008,12:00:00 PM,1.9675,1.9718,1.96025,1.9604,66760
4/8/2008,4:00:00 PM,1.9604,1.9636,1.95995,1.9629,31935
4/8/2008,8:00:00 PM,1.9629,1.9631,1.96059,1.96105,7135
5/8/2008,12:00:00 AM,1.9612,1.9612,1.9583,1.95955,12166
5/8/2008,4:00:00 AM,1.95955,1.9605,1.9546,1.9553,43817
5/8/2008,8:00:00 AM,1.9553,1.9582,1.95245,1.95335,88028
5/8/2008,12:00:00 PM,1.95335,1.9569,1.9528,1.95305,83999
5/8/2008,4:00:00 PM,1.95305,1.9574,1.9521,1.95625,40008
5/8/2008,8:00:00 PM,1.95625,1.9564,1.9527,1.9553,7761
6/8/2008,12:00:00 AM,1.9553,1.9569,1.954,1.9562,11722
6/8/2008,4:00:00 AM,1.95625,1.9596,1.95505,1.95645,30914
6/8/2008,8:00:00 AM,1.95645,1.95665,1.952,1.95445,81745
6/8/2008,12:00:00 PM,1.95445,1.95445,1.9467,1.9477,107760
